locality,area,cost
Electronic City,2102 - 2272,₹1.34 Cr Onwards
Hennur Road,1180,₹76.5 L
Kudlu Gate,1564 - 1850,₹1.18 Cr Onwards
Kudlu Gate,1183,₹90.61 L
Sarjapur Road,941 - 1390.53,₹43.55 L - 64.35 L
Hebbal,934 - 1377,₹98 L - 1.44 Cr
Koramangala,1249,₹1.61 Cr
Whitefield,1448,₹83.9 L
Halagevaderahalli,1400 - 1570,₹69.99 L - 78.48 L
Harlur,2805,₹1.9 Cr
Attibele,995 - 1174,₹24.88 L - 29.35 L
Bellandur,875 - 914,₹76.88 L - 80.3 L
Uttarahalli,1567,₹57.98 L
Whitefield,1565 - 1715,₹65.73 L - 72.03 L
Hoskote,800 - 2660,₹13.2 L - 43.89 L
Kengeri,1140 - 1450,₹42.18 L - 53.65 L
Yelahanka,1053 - 1199,₹41.07 L - 46.76 L
B,1200 - 4000,₹34.8 L - 1.16 Cr
Whitefield,1485 - 1595,₹70.54 L - 75.76 L
Devanahalli,1009,₹56.19 L
Handenahalli,1200 - 2400,₹23.14 L - 46.27 L
Raja Rajeshwari Nagar,1236 - 1245,₹49.44 L - 49.8 L
Vijayanagar,492,₹30.5 L
Thanisandra,1039 - 1279,₹50.99 L - 62.77 L
Poorna Pragna Layout,1100 - 1220,₹49.49 L - 54.89 L
Bannerghatta Road,1000 - 1050,₹60.11 L - 63.12 L
Electronic City,856 - 961,₹17.29 L - 19.41 L
Vijayanagar,1180,₹88.58 L
Hormavu,1235 - 1312,₹56.81 L - 60.35 L
Immadihalli,1564,₹1.03 Cr
9th Phase JP Nagar,1073 - 1104,₹48.18 L - 49.57 L
Tumkur Road,992 - 1027,₹61.72 L Onwards
Hoskote,929 - 1078,₹27.86 L - 32.33 L
Kadugodi,1630 - 2072,₹57.87 L Onwards
Jakkur,707.73 - 739.59,₹54.52 L Onwards
Sarjapur,907.3 - 996.1,₹32.65 L - 35.85 L
Hosa Road,1020 - 1130,₹37.73 L - 41.8 L
Attibele,402 - 472,₹14.07 L - 16.52 L
Devanahalli,781 - 5486,₹27.34 L - 1.92 Cr
Koramangala,1084,₹1.55 Cr
Kadugodi,1335 - 1675,₹48.06 L - 60.3 L
Poorna Pragna Layout,1990 - 2070,₹99.48 L - 1.03 Cr
Uttarahalli,1320 - 1410,₹65.99 L - 70.49 L
Thanisandra,1391,₹1.4 Cr
JP Nagar,2425 - 2440,₹1.96 Cr Onwards
Jalahalli,615,₹45.15 L
Hormavu,1190 - 1255,₹55.34 L - 58.36 L
Anjanapura,862 - 1013,₹24.14 L - 28.36 L
Devanahalli,2400,₹52.68 L
Attibele,1639,₹40.98 L
Raja Rajeshwari Nagar,1513 - 1811,₹53.71 L - 64.29 L
Raja Rajeshwari Nagar,1185 - 1578,₹53.33 L - 71.01 L
Bhoganhalli,955 - 1200,₹38.19 L - 47.99 L
Attibele,840 - 1085,₹22.68 L - 29.3 L
L,1200 - 4800,₹25.2 L - 1.01 Cr
Immadihalli,840 - 877,₹57.6 L Onwards
Hormavu,2282,₹2.13 Cr
Hosur Road,1345,₹1.12 Cr
Hulimavu,2180 - 3044,₹1.28 Cr - 1.78 Cr
Sarjapur Road,1228,₹58.82 L
Begur Road,644,₹41 L
Thanisandra,2000 - 2127,₹1.08 Cr - 1.15 Cr
Hosa Road,1260,₹49.14 L
Mysore Road,1237,₹82.09 L
Raja Rajeshwari Nagar,990 - 1210,₹49.49 L - 60.49 L
Sarjapur Road,537 - 716,₹12.83 L - 17.11 L
Thanisandra,1435 - 1757,₹70.43 L - 86.23 L
Hosur Road,1320 - 1410,₹59.4 L - 63.45 L
Bhoganhalli,490,₹19.6 L
Thanisandra,684 - 810,Price on Request
Agara Village,409 - 1556,₹5.32 L - 20.23 L
Banashankari,1250 - 1400,₹62.49 L - 69.99 L
Kanakpura Road,1010 - 1184,₹42.42 L - 49.73 L
Electronic City Phase II,1395,₹83.99 L
Kengeri,1134 - 1295,₹43.09 L - 49.21 L
Whitefield,1350 - 1573,₹50.63 L - 58.99 L
Thanisandra,1119 - 1281,₹51.47 L - 58.93 L
Bannerghatta Road,1830,₹90.31 L
Chikkaballapur,1200 - 4000,₹14 L - 46.68 L
Old Madras Road,1099 - 1722,₹39.56 L - 61.99 L
Yelahanka,1312 - 1450,₹51.17 L - 56.55 L
Bannerghatta Road,1115 - 1130,₹76 L Onwards
JP Nagar,3300 - 3335,₹2.67 Cr Onwards
Gunjur,1109 - 1277,₹50.45 L - 58.09 L
Jalahalli East,700 - 800,₹30.8 L - 35.2 L
Rachenahalli,2470 - 2840,₹1.37 Cr - 1.58 Cr
Kengeri Satellite Town,1118 - 1152,₹40.25 L - 41.47 L
Raja Rajeshwari Nagar,1325 - 1525,₹56.98 L - 65.58 L
Whitefield,2830,₹1.74 Cr
